# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.164814070611e-04      -2.616829678900e+00      -6.535530143594e+00      -6.536059795440e+00      -2.580076657025e+00      -6.534778081923e+00       4.591859756822e-01       4.591978037372e-01 
       7.642754516026e-04      -2.567375758047e+00      -7.210166966692e+00      -7.210820187136e+00      -2.538630495087e+00      -7.209299319155e+00       4.588261206553e-01       4.588366497838e-01 
       8.152659333972e-04      -2.540357261333e+00      -7.976881037033e+00      -7.977682318839e+00      -2.521860343113e+00      -7.975897436489e+00       4.584324031862e-01       4.584408128521e-01 
       8.695845120546e-04      -2.535902386709e+00      -8.846770417386e+00      -8.847747479411e+00      -2.528746150375e+00      -8.845669722653e+00       4.580018698394e-01       4.580078442032e-01 
       9.273366989552e-04      -2.547031482563e+00      -9.831531024425e+00      -9.832714371345e+00      -2.550540874309e+00      -9.830308531584e+00       4.575318231968e-01       4.575355836361e-01 
       9.885970128911e-04      -2.560053222686e+00      -1.094327636986e+01      -1.094469900270e+01      -2.571451265613e+00      -1.094192136057e+01       4.570195062393e-01       4.570217188620e-01 
       1.053405309852e-03      -2.558347149641e+00      -1.219432867784e+01      -1.219602525844e+01      -2.572985997104e+00      -1.219282279379e+01       4.564625816008e-01       4.564641356453e-01 
       1.121764693252e-03      -2.529320624116e+00      -1.359698329184e+01      -1.359898945378e+01      -2.541636901190e+00      -1.359530130868e+01       4.558592315091e-01       4.558609380513e-01 
       1.193641256173e-03      -2.471990432319e+00      -1.516327050932e+01      -1.516562171094e+01      -2.477042724941e+00      -1.516138317665e+01       4.552085368381e-01       4.552108504654e-01 
       1.268965700769e-03      -2.400531497689e+00      -1.690471543720e+01      -1.690744633407e+01      -2.395597371453e+00      -1.690259391317e+01       4.545101309598e-01       4.545130161914e-01 
       1.347636662007e-03      -2.339417814667e+00      -1.883209074819e+01      -1.883523489546e+01      -2.324906587034e+00      -1.882970982349e+01       4.537632336571e-01       4.537662534580e-01 
       1.429525377859e-03      -2.310028251201e+00      -2.095535754766e+01      -2.095894637396e+01      -2.289167202421e+00      -2.095269405222e+01       4.529692503205e-01       4.529718483231e-01 
       1.514481230526e-03      -2.315436110374e+00      -2.328348089552e+01      -2.328754479455e+01      -2.292834191865e+00      -2.328050917235e+01       4.521296030887e-01       4.521314345159e-01 
       1.602337648742e-03      -2.334766253388e+00      -2.582434134639e+01      -2.582891037488e+01      -2.314656889204e+00      -2.582102666682e+01       4.512454543711e-01       4.512465734850e-01 
       1.692917903541e-03      -2.334845300359e+00      -2.858472544319e+01      -2.858983111778e+01      -2.319995723762e+00      -2.858102197094e+01       4.503181076272e-01       4.503188951732e-01 
       1.786040426791e-03      -2.294370628604e+00      -3.157033584408e+01      -3.157601347905e+01      -2.286000611768e+00      -3.156619252299e+01       4.493491645237e-01       4.493500477224e-01 
       1.881523404750e-03      -2.222904565082e+00      -3.478584433032e+01      -3.479213568951e+01      -2.221005149915e+00      -3.478121684382e+01       4.483407554441e-01       4.483419210279e-01 
       1.979188521292e-03      -2.156648886803e+00      -3.823495314686e+01      -3.824190842153e+01      -2.159834721640e+00      -3.822981395126e+01       4.472951120619e-01       4.472964192069e-01 
       2.078863828915e-03      -2.130242972867e+00      -4.192048053093e+01      -4.192816135534e+01      -2.135177113202e+00      -4.191482110502e+01       4.462146259119e-01       4.462157706687e-01 
       2.180385801262e-03      -2.146579563721e+00      -4.584445879516e+01      -4.585293874636e+01      -2.148187450054e+00      -4.583828067274e+01       4.451016243225e-01       4.451024078238e-01 
       2.283600667431e-03      -2.172753207193e+00      -5.000820515756e+01      -5.001757148913e+01      -2.166301200911e+00      -5.000151097250e+01       4.439580980360e-01       4.439585745586e-01 
       2.388365150148e-03      -2.169039763786e+00      -5.441244279099e+01      -5.442279450031e+01      -2.153249342811e+00      -5.440523315194e+01       4.427862235502e-01       4.427866198495e-01 
       2.494546733058e-03      -2.125743220962e+00      -5.905735884022e+01      -5.906880604513e+01      -2.104230676942e+00      -5.904964127947e+01       4.415880665197e-01       4.415885680013e-01 
       2.602023573595e-03      -2.071969116817e+00      -6.394268072609e+01      -6.395534234582e+01      -2.050946421016e+00      -6.393447940684e+01       4.403657410693e-01       4.403663475751e-01 
       2.710684162595e-03      -2.045950097508e+00      -6.906775151740e+01      -6.908175271018e+01      -2.029481283561e+00      -6.905910738842e+01       4.391212489319e-01       4.391218188188e-01 
       2.820426814059e-03      -2.055894590412e+00      -7.443159604041e+01      -7.444706497398e+01      -2.042893979223e+00      -7.442255472490e+01       4.378565757444e-01       4.378569905835e-01 
       2.931159050965e-03      -2.072059859172e+00      -8.003295069485e+01      -8.005001449739e+01      -2.058118675268e+00      -8.002354787331e+01       4.365733044637e-01       4.365735819426e-01 
       3.042796937197e-03      -2.059137507472e+00      -8.587036885321e+01      -8.588915248528e+01      -2.041558324678e+00      -8.586062830712e+01       4.352732842168e-01       4.352735266573e-01 
       3.155264392250e-03      -2.014416912831e+00      -9.194214181823e+01      -9.196276866402e+01      -1.984401966884e+00      -9.193208494521e+01       4.339578437851e-01       4.339580869204e-01 
       3.268492514502e-03      -1.969781851417e+00      -9.824641637214e+01      -9.826900805789e+01      -1.903308241229e+00      -9.823607146146e+01       4.326284446517e-01       4.326287184616e-01 
       3.382418930307e-03      -1.955078288506e+00      -1.047812617333e+02      -1.048059372460e+02      -1.846842512431e+00      -1.047706668496e+02       4.312866841328e-01       4.312869195038e-01 
       3.496987179726e-03      -1.964246502449e+00      -1.115445541008e+02      -1.115714353013e+02      -1.834422835237e+00      -1.115337516867e+02       4.299336704173e-01       4.299338103110e-01 
       3.612146144974e-03      -1.963299613270e+00      -1.185341215020e+02      -1.185633352612e+02      -1.835527899194e+00      -1.185231489573e+02       4.285705729640e-01       4.285706481344e-01 
       3.727849524222e-03      -1.931323189011e+00      -1.257476980940e+02      -1.257793806865e+02      -1.812899356549e+00      -1.257365929989e+02       4.271984044655e-01       4.271984940026e-01 
       3.844055351094e-03      -1.886612292937e+00      -1.331829500413e+02      -1.332172486783e+02      -1.768633620209e+00      -1.331717634007e+02       4.258181314209e-01       4.258182709253e-01 
       3.960725558586e-03      -1.866433684875e+00      -1.408375313603e+02      -1.408746086169e+02      -1.736807867657e+00      -1.408263387031e+02       4.244308071082e-01       4.244309568428e-01 
       4.077825585161e-03      -1.883335245559e+00      -1.487089834907e+02      -1.487490212689e+02      -1.737067087270e+00      -1.486978819879e+02       4.230371704628e-01       4.230372722695e-01 
       4.195324020231e-03      -1.909631828647e+00      -1.567949083758e+02      -1.568381005831e+02      -1.749752877546e+00      -1.567839985698e+02       4.216381034758e-01       4.216381509151e-01 
       4.313192285913e-03      -1.909242708915e+00      -1.650927700925e+02      -1.651393336814e+02      -1.741976463975e+00      -1.650821620382e+02       4.202341301069e-01       4.202341707717e-01 
       4.431404351909e-03      -1.879651665589e+00      -1.736001613200e+02      -1.736503237829e+02      -1.709285134385e+00      -1.735899736317e+02       4.188261015887e-01       4.188261773968e-01 
       4.549936480402e-03      -1.673435118981e+00      -1.823145369761e+02      -1.823685423090e+02      -1.669657809461e+00      -1.823048786075e+02       4.174144523653e-01       4.174144523653e-01 
       4.668766998006e-03      -1.667762314770e+00      -1.912333930022e+02      -1.912914918570e+02      -1.663997814494e+00      -1.912244521293e+02       4.159994536234e-01       4.159994536234e-01 
       4.787876091995e-03      -1.662081233216e+00      -2.003541865152e+02      -2.004166383277e+02      -1.658329559482e+00      -2.003461191756e+02       4.145823898705e-01       4.145823898705e-01 
       4.907245628250e-03      -1.656393731225e+00      -2.096746271254e+02      -2.097416951861e+02      -1.652654896899e+00      -2.096675932845e+02       4.131637242247e-01       4.131637242247e-01 
       5.026858988601e-03      -1.650700629669e+00      -2.191921144806e+02      -2.192640655812e+02      -1.646974647856e+00      -2.191862778288e+02       4.117436619639e-01       4.117436619639e-01 
       5.146700925436e-03      -1.645003352278e+00      -2.289041988561e+02      -2.289812993218e+02      -1.641290231314e+00      -2.288997234381e+02       4.103225578286e-01       4.103225578286e-01 
       5.266757431696e-03      -1.639303775431e+00      -2.388084089538e+02      -2.388909331989e+02      -1.635603520256e+00      -2.388054663459e+02       4.089008800640e-01       4.089008800640e-01 
       5.387015624539e-03      -1.633603287865e+00      -2.489022709671e+02      -2.489904919315e+02      -1.629915900613e+00      -2.489010322623e+02       4.074789751534e-01       4.074789751534e-01 
       5.507463641157e-03      -1.627903631680e+00      -2.591833654762e+02      -2.592775656927e+02      -1.624229110742e+00      -2.591840105434e+02       4.060572776856e-01       4.060572776856e-01 
       5.628090545409e-03      -1.622205869377e+00      -2.696492654449e+02      -2.697497363268e+02      -1.618544210427e+00      -2.696519823341e+02       4.046360526068e-01       4.046360526068e-01 
       5.748886244053e-03      -1.616510979424e+00      -2.802974464728e+02      -2.804044895378e+02      -1.612862176482e+00      -2.803024324705e+02       4.032155441206e-01       4.032155441206e-01 
       5.869841411523e-03      -1.610820741839e+00      -2.911255413331e+02      -2.912394795014e+02      -1.607184785431e+00      -2.911330123835e+02       4.017961963576e-01       4.017961963576e-01 
       5.990947422313e-03      -1.605134476927e+00      -3.021311969384e+02      -3.022523653973e+02      -1.601511356430e+00      -3.021413799820e+02       4.003778391075e-01       4.003778391075e-01 
       6.112196290122e-03      -1.599453829805e+00      -3.133119309994e+02      -3.134406879680e+02      -1.595843532488e+00      -3.133250730352e+02       3.989608831219e-01       3.989608831219e-01 
       6.233580613033e-03      -1.593780458432e+00      -3.246653982260e+02      -3.248021202542e+02      -1.590182968087e+00      -3.246817623296e+02       3.975457420217e-01       3.975457420217e-01 
       6.355093524064e-03      -1.588114202056e+00      -3.361892170216e+02      -3.363342979818e+02      -1.584529502524e+00      -3.362090815108e+02       3.961323756309e-01       3.961323756309e-01 
