# Matter power spectrum P(k) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.289640593717e-02       3.122138750926e+04 
       1.302100970753e-02       3.127393567735e+04 
       1.314564937606e-02       3.132376507230e+04 
       1.327032499934e-02       3.137085014345e+04 
       1.339503665758e-02       3.141521294867e+04 
       1.351978445419e-02       3.145691164219e+04 
       1.364456851541e-02       3.149599012545e+04 
       1.376938898987e-02       3.153231853973e+04 
       1.389424604833e-02       3.156601751069e+04 
       1.401913988334e-02       3.159730045994e+04 
       1.414407070898e-02       3.162612694512e+04 
       1.426903876066e-02       3.165245545026e+04 
       1.439404429485e-02       3.167623595737e+04 
       1.451908758897e-02       3.169766871584e+04 
       1.464416894118e-02       3.171674910735e+04 
       1.476928867029e-02       3.173344001622e+04 
       1.489444711564e-02       3.174765081676e+04 
       1.501964463704e-02       3.175972964359e+04 
       1.514488161469e-02       3.176957569694e+04 
       1.527015844916e-02       3.177714699134e+04 
       1.539547556136e-02       3.178249062041e+04 
       1.552083339260e-02       3.178561011146e+04 
       1.564623240455e-02       3.178665846492e+04 
       1.577167307934e-02       3.178562130990e+04 
       1.589715591960e-02       3.178243518507e+04 
       1.602268144854e-02       3.177724231500e+04 
       1.614825021010e-02       3.176999059773e+04 
       1.627386276901e-02       3.176069675112e+04 
       1.639951971098e-02       3.174950391316e+04 
       1.652522164284e-02       3.173653980546e+04 
       1.665096919269e-02       3.172149140253e+04 
       1.677676301015e-02       3.170438748312e+04 
       1.690260376649e-02       3.168576599217e+04 
       1.702849215493e-02       3.166520792124e+04 
       1.715442889084e-02       3.164283308042e+04 
       1.728041471200e-02       3.161869407563e+04 
       1.740645037890e-02       3.159277589419e+04 
       1.753253667499e-02       3.156503417339e+04 
       1.765867440702e-02       3.153582164032e+04 
       1.778486440536e-02       3.150476266428e+04 
       1.791110752433e-02       3.147227700154e+04 
       1.803740464255e-02       3.143803164570e+04 
       1.816375666334e-02       3.140220027618e+04 
       1.829016451508e-02       3.136478383194e+04 
       1.841662915165e-02       3.132581105564e+04 
       1.854315155281e-02       3.128538799364e+04 
       1.866973272471e-02       3.124359898271e+04 
       1.879637370027e-02       3.120020861693e+04 
       1.892307553971e-02       3.115526714124e+04 
       1.904983933102e-02       3.110914009351e+04 
       1.917666619051e-02       3.106144640058e+04 
       1.930355726329e-02       3.101246585863e+04 
       1.943051372387e-02       3.096227086779e+04 
       1.955753677670e-02       3.091061703238e+04 
       1.968462765677e-02       3.085766229926e+04 
       1.981178763021e-02       3.080335577442e+04 
       1.993901799497e-02       3.074789853009e+04 
       2.006632008140e-02       3.069121350736e+04 
       2.019369525299e-02       3.063340408751e+04 
       2.032114490701e-02       3.057425308571e+04 
       2.044867047529e-02       3.051413472360e+04 
       2.057627342491e-02       3.045273361496e+04 
       2.070395525899e-02       3.039028981822e+04 
       2.083171751748e-02       3.032668859387e+04 
       2.095956177799e-02       3.026194266004e+04 
       2.108748965660e-02       3.019623309832e+04 
       2.121550280877e-02       3.012949652446e+04 
       2.134360293018e-02       3.006175535772e+04 
       2.147179175773e-02       2.999311779461e+04 
       2.160007107043e-02       2.992333155353e+04 
       2.172844269041e-02       2.985276968297e+04 
       2.185690848394e-02       2.978117163479e+04 
       2.198547036247e-02       2.970857920024e+04 
       2.211413028370e-02       2.963519032391e+04 
       2.224289025271e-02       2.956092766201e+04 
       2.237175232311e-02       2.948581076151e+04 
       2.250071859821e-02       2.940999231067e+04 
       2.262979123224e-02       2.933322930363e+04 
       2.275897243165e-02       2.925569590255e+04 
       2.288826445635e-02       2.917735520514e+04 
       2.301766962110e-02       2.909825857947e+04 
       2.314719029689e-02       2.901836048764e+04 
       2.327682891234e-02       2.893780031369e+04 
       2.340658795522e-02       2.885658096843e+04 
       2.353646997393e-02       2.877468658817e+04 
       2.366647757910e-02       2.869209432018e+04 
       2.379661344521e-02       2.860885974189e+04 
       2.392688031224e-02       2.852495058986e+04 
       2.405728098747e-02       2.844035816709e+04 
       2.418781834717e-02       2.835524109895e+04 
       2.431849533854e-02       2.826952106965e+04 
       2.444931498157e-02       2.818332159618e+04 
       2.458028037101e-02       2.809643182188e+04 
       2.471139467843e-02       2.800917421729e+04 
       2.484266115434e-02       2.792128792043e+04 
       2.497408313032e-02       2.783288344314e+04 
       2.510566402132e-02       2.774392366819e+04 
       2.523740732798e-02       2.765456136664e+04 
       2.536931663903e-02       2.756472590447e+04 
       2.550139563382e-02       2.747445683779e+04 
       2.563364808484e-02       2.738384942043e+04 
       2.576607786046e-02       2.729261402181e+04 
       2.589868892768e-02       2.720128416068e+04 
       2.603148535496e-02       2.710919220297e+04 
       2.616447131525e-02       2.701699962991e+04 
       2.629765108904e-02       2.692433100390e+04 
       2.643102906753e-02       2.683125675178e+04 
       2.656460975597e-02       2.673790246072e+04 
       2.669839777708e-02       2.664421579425e+04 
       2.683239787459e-02       2.655023337287e+04 
       2.696661491696e-02       2.645602558686e+04 
       2.710105390117e-02       2.636138616523e+04 
       2.723571995674e-02       2.626664662405e+04 
       2.737061834981e-02       2.617153291583e+04 
       2.750575448744e-02       2.607615797217e+04 
       2.764113392209e-02       2.598051419684e+04 
       2.777676235620e-02       2.588467221022e+04 
       2.791264564702e-02       2.578857995378e+04 
       2.804878981161e-02       2.569246335585e+04 
       2.818520103204e-02       2.559601568108e+04 
       2.832188566076e-02       2.549939340351e+04 
       2.845885022631e-02       2.540258180595e+04 
       2.859610143908e-02       2.530555845438e+04 
       2.873364619748e-02       2.520843130161e+04 
       2.887149159429e-02       2.511114913660e+04 
       2.900964492322e-02       2.501382333712e+04 
       2.914811368590e-02       2.491620404010e+04 
       2.928690559902e-02       2.481867769894e+04 
       2.942602860186e-02       2.472089890267e+04 
       2.956549086412e-02       2.462303062992e+04 
       2.970530079409e-02       2.452505092379e+04 
       2.984546704721e-02       2.442699567826e+04 
       2.998599853497e-02       2.432894599961e+04 
       3.012690443426e-02       2.423074085180e+04 
       3.026819419710e-02       2.413262109084e+04 
       3.040987756082e-02       2.403431908107e+04 
       3.055196455877e-02       2.393600422126e+04 
       3.069446553144e-02       2.383762757504e+04 
       3.083739113820e-02       2.373924223828e+04 
       3.098075236950e-02       2.364082802791e+04 
       3.112456055973e-02       2.354242564917e+04 
       3.126882740071e-02       2.344401973995e+04 
       3.141356495575e-02       2.334559528804e+04 
       3.155878567452e-02       2.324725606451e+04 
       3.170450240861e-02       2.314883017163e+04 
       3.185072842783e-02       2.305040138875e+04 
       3.199747743745e-02       2.295202927074e+04 
       3.214476359623e-02       2.285366998152e+04 
       3.229260153542e-02       2.275532293004e+04 
       3.244100637881e-02       2.265714647488e+04 
       3.258999376375e-02       2.255897497578e+04 
       3.273957986336e-02       2.246065779375e+04 
       3.288978140996e-02       2.236253466431e+04 
       3.304061571975e-02       2.226449454689e+04 
       3.319210071885e-02       2.216646684971e+04 
       3.334425497084e-02       2.206846089480e+04 
       3.349709770584e-02       2.197066385992e+04 
       3.365064885125e-02       2.187283462158e+04 
       3.380492906431e-02       2.177494678121e+04 
       3.395995976648e-02       2.167730361284e+04 
       3.411576317999e-02       2.157968552059e+04 
       3.427236236650e-02       2.148214917212e+04 
