# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.024e-05 to 131.393 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.309558213851e-04      -2.603485463916e+00      -6.585430343038e+00      -6.586029442971e+00      -2.568609428981e+00      -6.584763895346e+00       4.631627812117e-01       4.631741238678e-01 
       7.801742889150e-04      -2.555101713181e+00      -7.275237744748e+00      -7.275980045510e+00      -2.529703496263e+00      -7.274476779401e+00       4.628057936206e-01       4.628157946159e-01 
       8.326920888000e-04      -2.529880844559e+00      -8.059767928430e+00      -8.060683074000e+00      -2.516112953649e+00      -8.058916732142e+00       4.624147206176e-01       4.624226052475e-01 
       8.886365212960e-04      -2.527510898585e+00      -8.950351197001e+00      -8.951472676728e+00      -2.526029587533e+00      -8.949413707597e+00       4.619869947165e-01       4.619924973820e-01 
       9.481060689878e-04      -2.540303250899e+00      -9.958870378223e+00      -9.960235559842e+00      -2.549601741138e+00      -9.957847807055e+00       4.615197045145e-01       4.615230899306e-01 
       1.011165679607e-03      -2.553901708514e+00      -1.109756822708e+01      -1.109921795969e+01      -2.570053186268e+00      -1.109645663214e+01       4.610102647596e-01       4.610122209248e-01 
       1.077843441892e-03      -2.551550966915e+00      -1.237882802240e+01      -1.238080567096e+01      -2.568689954266e+00      -1.237761680646e+01       4.604565365955e-01       4.604579413345e-01 
       1.148129039684e-03      -2.521439310559e+00      -1.381492841358e+01      -1.381727893902e+01      -2.533120095067e+00      -1.381360119137e+01       4.598569223222e-01       4.598585408979e-01 
       1.221974180741e-03      -2.464153468051e+00      -1.541779863804e+01      -1.542056738088e+01      -2.465323491746e+00      -1.541633618514e+01       4.592105312464e-01       4.592127533711e-01 
       1.299294965623e-03      -2.395336081023e+00      -1.719878995540e+01      -1.720202145578e+01      -2.384193259190e+00      -1.719717402037e+01       4.585172638216e-01       4.585199993064e-01 
       1.379975935554e-03      -2.339468059099e+00      -1.916841689910e+01      -1.917215428794e+01      -2.318254435756e+00      -1.916663262235e+01       4.577760865511e-01       4.577788836185e-01 
       1.463875362660e-03      -2.315667937359e+00      -2.133636855276e+01      -2.134065209518e+01      -2.289800146413e+00      -2.133440180253e+01       4.569891167283e-01       4.569914555345e-01 
       1.550831252532e-03      -2.323315941468e+00      -2.371126960752e+01      -2.371613707755e+01      -2.299131493611e+00      -2.370910154908e+01       4.561576469715e-01       4.561592513173e-01 
       1.640667525353e-03      -2.339018535285e+00      -2.630064567211e+01      -2.630613308085e+01      -2.321304853455e+00      -2.629824672916e+01       4.552827736005e-01       4.552837559162e-01 
       1.733199913602e-03      -2.330962998175e+00      -2.911092675852e+01      -2.911706998771e+01      -2.321606409434e+00      -2.910825568181e+01       4.543659192292e-01       4.543666689439e-01 
       1.828241233237e-03      -2.283292795253e+00      -3.214746785285e+01      -3.215430474690e+01      -2.281513179586e+00      -3.214447850865e+01       4.534087314359e-01       4.534096282852e-01 
       1.925605819936e-03      -2.211624964754e+00      -3.541462793989e+01      -3.542219983090e+01      -2.215028091687e+00      -3.541128024587e+01       4.524134760012e-01       4.524146364376e-01 
       2.025113046725e-03      -2.153781886608e+00      -3.891580196340e+01      -3.892415864940e+01      -2.159065237062e+00      -3.891207296937e+01       4.513822503942e-01       4.513834902736e-01 
       2.126589938212e-03      -2.139386863824e+00      -4.265354448937e+01      -4.266274594243e+01      -2.142473110841e+00      -4.264942767657e+01       4.503173480541e-01       4.503183747656e-01 
       2.229872964014e-03      -2.163097090829e+00      -4.662966161213e+01      -4.663978021901e+01      -2.159716836885e+00      -4.662515881856e+01       4.492210711746e-01       4.492217360769e-01 
       2.334809131420e-03      -2.187328744190e+00      -5.084527824548e+01      -5.085640091936e+01      -2.174939830774e+00      -5.084039242216e+01       4.480953689244e-01       4.480957712296e-01 
       2.441256510756e-03      -2.175320172983e+00      -5.530094894176e+01      -5.531317679386e+01      -2.155406840658e+00      -5.529568455979e+01       4.469422160643e-01       4.469425881766e-01 
       2.549084323615e-03      -2.125187743649e+00      -5.999672735902e+01      -6.001017674541e+01      -2.103404981988e+00      -5.999110168622e+01       4.457636871814e-01       4.457641843398e-01 
       2.658172710728e-03      -2.071414872178e+00      -6.493223319336e+01      -6.494703213081e+01      -2.054144334335e+00      -6.492628364969e+01       4.445617260326e-01       4.445623148798e-01 
       2.768412278116e-03      -2.050545942349e+00      -7.010675027937e+01      -7.012303697480e+01      -2.039956743098e+00      -7.010053330663e+01       4.433384291588e-01       4.433389604050e-01 
       2.879703500958e-03      -2.064683338721e+00      -7.551923497306e+01      -7.553715437906e+01      -2.056798697916e+00      -7.551281289116e+01       4.420955164641e-01       4.420958887544e-01 
       2.991956046557e-03      -2.080461620427e+00      -8.116840437285e+01      -8.118810410435e+01      -2.068726687047e+00      -8.116183203001e+01       4.408346401818e-01       4.408348890453e-01 
       3.105088062073e-03      -2.064940612008e+00      -8.705276140394e+01      -8.707438992366e+01      -2.046315794430e+00      -8.704608556370e+01       4.395573391577e-01       4.395575538418e-01 
       3.219025459678e-03      -2.020140442917e+00      -9.317061771276e+01      -9.319432093402e+01      -1.983872104477e+00      -9.316388314982e+01       4.382650405480e-01       4.382652675670e-01 
       3.333701221479e-03      -1.978762102685e+00      -9.952016832861e+01      -9.954608814460e+01      -1.905102728195e+00      -9.951342546657e+01       4.369592694592e-01       4.369595222252e-01 
