# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.895944335487e-10       8.805666318468e-15       2.626109689160e-13       8.071026323798e-17       9.726911367427e-11       1.111592340322e-11      -7.938614735346e-15 
   41       1.924185903309e-10       9.561568500174e-15       2.522451847178e-13       8.480108022094e-17       9.243083595911e-11       1.060160045323e-11      -9.485676096623e-15 
   42       1.952755366815e-10       1.035777536260e-14       2.403029570549e-13       8.899597839483e-17       8.790677215261e-11       1.012131859623e-11      -1.119626944265e-14 
   43       1.981643405215e-10       1.119495862179e-14       2.265750854542e-13       9.329513663389e-17       8.368478379575e-11       9.673183961859e-12      -1.271031678267e-14 
   44       2.010792227587e-10       1.207373480458e-14       2.108207936200e-13       9.769872608707e-17       7.973399703335e-11       9.253154590945e-12      -1.359917321394e-14 
   45       2.040130137154e-10       1.299465587538e-14       1.928250704198e-13       1.022068808043e-16       7.601580347658e-11       8.856426235872e-12      -1.349093560386e-14 
   46       2.069698010660e-10       1.395818407972e-14       1.725956586298e-13       1.068196004355e-16       7.252429738623e-11       8.482481048366e-12      -1.250013675170e-14 
   47       2.099553077817e-10       1.496470502864e-14       1.502216928527e-13       1.115368175096e-16       6.925539195885e-11       8.131261502738e-12      -1.091994774222e-14 
   48       2.129731061948e-10       1.601453076153e-14       1.258210063173e-13       1.163584215842e-16       6.619462610687e-11       7.801670057312e-12      -9.107648848273e-15 
   49       2.160243985776e-10       1.710789668487e-14       9.954162421575e-14       1.212842570373e-16       6.331639320754e-11       7.491490100313e-12      -7.488208991193e-15 
   50       2.191088027419e-10       1.824499400109e-14       7.152325815279e-14       1.263141201550e-16       6.059164438869e-11       7.198077897846e-12      -6.452956836456e-15 
   51       2.222274692844e-10       1.942608447468e-14       4.176600317293e-14       1.314477545877e-16       5.801525274024e-11       6.920843266702e-12      -6.014864483448e-15 
   52       2.253804312002e-10       2.065141152640e-14       1.022858135118e-14       1.366848508436e-16       5.558474365378e-11       6.659305602262e-12      -6.065881746627e-15 
   53       2.285655047749e-10       2.192116610755e-14      -2.313515407732e-14       1.420250446961e-16       5.329210585900e-11       6.412339970793e-12      -6.472341290330e-15 
   54       2.317781174587e-10       2.323548530881e-14      -5.837660768027e-14       1.474679149427e-16       5.112341897439e-11       6.178134337787e-12      -7.073601224904e-15 
   55       2.350134035361e-10       2.459441273455e-14      -9.554597573178e-14       1.530130292126e-16       4.906309099696e-11       5.954723701491e-12      -7.712754898943e-15 
   56       2.382734951091e-10       2.599777128541e-14      -1.346700757978e-13       1.586600998503e-16       4.710865674353e-11       5.741845863768e-12      -8.340803722640e-15 
   57       2.415617408594e-10       2.744525633540e-14      -1.757696908428e-13       1.644088628309e-16       4.525900328557e-11       5.539471754637e-12      -8.935985510663e-15 
   58       2.448805149961e-10       2.893646837933e-14      -2.188660609765e-13       1.702590327425e-16       4.350989345663e-11       5.347249065141e-12      -9.473868944594e-15 
   59       2.482311334862e-10       3.047091015199e-14      -2.639810053366e-13       1.762103024171e-16       4.185377301091e-11       5.164481952516e-12      -9.927245540340e-15 
   60       2.516137702845e-10       3.204798374726e-14      -3.111370439711e-13       1.822623425609e-16       4.027957778189e-11       4.990110745352e-12      -1.026602161553e-14 
   61       2.550281690346e-10       3.366706742339e-14      -3.603529967565e-13       1.884148691141e-16       3.877580093611e-11       4.823026275327e-12      -1.046694241274e-14 
   62       2.584761543589e-10       3.532777268164e-14      -4.116293500335e-13       1.946678638328e-16       3.734093552398e-11       4.663141232967e-12      -1.054555946035e-14 
   63       2.619595381686e-10       3.702974004218e-14      -4.649598066904e-13       2.010214027890e-16       3.597504433835e-11       4.510524370048e-12      -1.053127957840e-14 
   64       2.654793165634e-10       3.877256410445e-14      -5.203354980883e-13       2.074755947552e-16       3.467661902313e-11       4.365077607491e-12      -1.045836579022e-14 
   65       2.690356113011e-10       4.055579319467e-14      -5.777449624333e-13       2.140305829839e-16       3.344249067220e-11       4.226526357977e-12      -1.036614125670e-14 
   66       2.726276112674e-10       4.237892901341e-14      -6.371741231494e-13       2.206865469874e-16       3.226774042846e-11       4.094409848558e-12      -1.029919321059e-14 
   67       2.762535139462e-10       4.424142628308e-14      -6.986062672508e-13       2.274437043174e-16       3.114561008276e-11       3.968071443268e-12      -1.030757689073e-14 
   68       2.799114472430e-10       4.614259286503e-14      -7.620191849176e-13       2.343023036347e-16       3.006930381300e-11       3.846841204397e-12      -1.043392878271e-14 
   69       2.836025826880e-10       4.808126739679e-14      -8.273759635259e-13       2.412625983090e-16       2.903801717757e-11       3.730648163705e-12      -1.067131830895e-14 
   70       2.873285508026e-10       5.005607540230e-14      -8.946322808224e-13       2.483248706424e-16       2.805197476380e-11       3.619515298621e-12      -1.099718289817e-14 
   71       2.910904837021e-10       5.206552019697e-14      -9.637389861329e-13       2.554894416346e-16       2.711060683877e-11       3.513373595105e-12      -1.138553451215e-14 
   72       2.948889816390e-10       5.410797998966e-14      -1.034642006131e-12       2.627566725401e-16       2.621250831507e-11       3.412057286855e-12      -1.180682877971e-14 
   73       2.987240795455e-10       5.618170498466e-14      -1.107282250606e-12       2.701269664254e-16       2.535539771651e-11       3.315299094505e-12      -1.222783413055e-14 
   74       3.025952135764e-10       5.828481448368e-14      -1.181595518234e-12       2.776007697250e-16       2.453607614386e-11       3.222725464831e-12      -1.261150092927e-14 
   75       3.065011876522e-10       6.041529398790e-14      -1.257512402345e-12       2.851785737992e-16       2.375038624058e-11       3.133851809949e-12      -1.291683060924e-14 
   76       3.104408048733e-10       6.257116020915e-14      -1.334968339899e-12       2.928608349651e-16       2.299424223554e-11       3.048203240850e-12      -1.310822380805e-14 
   77       3.144149686494e-10       6.475099724909e-14      -1.413936082281e-12       3.006477143142e-16       2.226702762970e-11       2.965712709455e-12      -1.318578208546e-14 
   78       3.184249057166e-10       6.695351338405e-14      -1.494399002026e-12       3.085392930577e-16       2.156874542155e-11       2.886387157589e-12      -1.316031978486e-14 
   79       3.224715157540e-10       6.917738236613e-14      -1.576341586823e-12       3.165356497297e-16       2.089898323356e-11       2.810186311512e-12      -1.304443771643e-14 
   80       3.265553515602e-10       7.142124396825e-14      -1.659749553286e-12       3.246368600718e-16       2.025689424112e-11       2.737020494484e-12      -1.285258666560e-14 
   81       3.306765992300e-10       7.368370452930e-14      -1.744609960713e-12       3.328429969193e-16       1.964117810163e-11       2.666748439326e-12      -1.260113090159e-14 
   82       3.348350583307e-10       7.596333749926e-14      -1.830911324852e-12       3.411541300853e-16       1.905006188354e-11       2.599175100990e-12      -1.230841168599e-14 
   83       3.390301220791e-10       7.825868398426e-14      -1.918643731662e-12       3.495703262465e-16       1.848128099535e-11       2.534049469122e-12      -1.199481078121e-14 
   84       3.432611179900e-10       8.056818750813e-14      -2.007787932868e-12       3.580916628396e-16       1.793262831622e-11       2.471125314549e-12      -1.167911128785e-14 
   85       3.475284381307e-10       8.288998467634e-14      -2.098280306372e-12       3.667182726491e-16       1.740374795864e-11       2.410359791044e-12      -1.136674786886e-14 
   86       3.518325607643e-10       8.522208064664e-14      -2.190042268590e-12       3.754503064354e-16       1.689460529055e-11       2.351743900050e-12      -1.105971604459e-14 
   87       3.561736929756e-10       8.756241127492e-14      -2.282990705832e-12       3.842879196989e-16       1.640493579215e-11       2.295241371008e-12      -1.076010293655e-14 
   88       3.605517569057e-10       8.990884255470e-14      -2.377037902886e-12       3.932312728007e-16       1.593423553456e-11       2.240787531627e-12      -1.047008854618e-14 
   89       3.649663759871e-10       9.225917005665e-14      -2.472091471599e-12       4.022805310833e-16       1.548175165844e-11       2.188288178169e-12      -1.019194703365e-14 
   90       3.694168611783e-10       9.461111836811e-14      -2.568054279461e-12       4.114358649916e-16       1.504647285262e-11       2.137618445721e-12      -9.928047996558e-15 
   91       3.739021971993e-10       9.696234053254e-14      -2.664824378192e-12       4.206974501927e-16       1.462711983278e-11       2.088621678474e-12      -9.680857748729e-15 
   92       3.784210287659e-10       9.931041748909e-14      -2.762294932322e-12       4.300654676973e-16       1.422213582004e-11       2.041108300004e-12      -9.452940598968e-15 
   93       3.829720686890e-10       1.016529505235e-13      -2.860362886249e-12       4.395401994734e-16       1.383005510290e-11       1.994902324802e-12      -9.246363711051e-15 
   94       3.875554222787e-10       1.039878557440e-13      -2.958956611643e-12       4.491223314767e-16       1.345069281207e-11       1.949991348657e-12      -9.060806516486e-15 
   95       3.921714376074e-10       1.063131130645e-13      -3.058012305518e-12       4.588126966309e-16       1.308411731645e-11       1.906397133062e-12      -8.895167998525e-15 
   96       3.968202935266e-10       1.086266778458e-13      -3.157465670146e-12       4.686121848078e-16       1.273028381052e-11       1.864129504588e-12      -8.748130959677e-15 
   97       4.015019916926e-10       1.109264816121e-13      -3.257251961595e-12       4.785217442586e-16       1.238902998291e-11       1.823185879123e-12      -8.618155113530e-15 
   98       4.062163485928e-10       1.132104327671e-13      -3.357306038257e-12       4.885423830452e-16       1.206007168490e-11       1.783550786117e-12      -8.503470176562e-15 
   99       4.109629875709e-10       1.154764173104e-13      -3.457562409392e-12       4.986751704720e-16       1.174299859895e-11       1.745195392821e-12      -8.402068959964e-15 
  100       4.157413308530e-10       1.177222995537e-13      -3.557955283655e-12       5.089212385169e-16       1.143726990722e-11       1.708077028529e-12      -8.311700461457e-15 
  101       4.205505915736e-10       1.199459228369e-13      -3.658418617638e-12       5.192817832633e-16       1.114220996013e-11       1.672138708820e-12      -8.229862957108e-15 
  102       4.253897658010e-10       1.221451102446e-13      -3.758886164400e-12       5.297580663310e-16       1.085700394484e-11       1.637308659798e-12      -8.153797093150e-15 
  103       4.302576245632e-10       1.243176653223e-13      -3.859291522005e-12       5.403514163080e-16       1.058069355382e-11       1.603499842336e-12      -8.080478977799e-15 
  104       4.351529668823e-10       1.264614061265e-13      -3.959565783975e-12       5.510631129525e-16       1.031239376768e-11       1.570630459692e-12      -8.007211671062e-15 
  105       4.400754349809e-10       1.285742710712e-13      -4.059630024643e-12       5.618940189004e-16       1.005198588433e-11       1.538689660086e-12      -7.933505531763e-15 
  106       4.450247948448e-10       1.306542287821e-13      -4.159401884438e-12       5.728449006438e-16       9.799510468657e-12       1.507679863956e-12      -7.859440181645e-15 
  107       4.500006800035e-10       1.326992471081e-13      -4.258797899233e-12       5.839165414596e-16       9.554952719497e-12       1.477596330926e-12      -7.785088461516e-15 
  108       4.550025864244e-10       1.347072942046e-13      -4.357733522528e-12       5.951097415521e-16       9.318240567962e-12       1.448426914641e-12      -7.710516098872e-15 
  109       4.600298674069e-10       1.366763396156e-13      -4.456123147635e-12       6.064253181965e-16       9.089242775801e-12       1.420151817587e-12      -7.635781375512e-15 
  110       4.650817284766e-10       1.386043553565e-13      -4.553880129854e-12       6.178641058824e-16       8.867767033758e-12       1.392743345927e-12      -7.560934795162e-15 
  111       4.701572222789e-10       1.404893169965e-13      -4.650916808664e-12       6.294269564564e-16       8.653558059922e-12       1.366165664324e-12      -7.486018751094e-15 
  112       4.752552434731e-10       1.423292047414e-13      -4.747144529900e-12       6.411147392660e-16       8.446295698087e-12       1.340374550769e-12      -7.411067193742e-15 
  113       4.803745236266e-10       1.441220045159e-13      -4.842473667936e-12       6.529283413023e-16       8.245593016103e-12       1.315317151413e-12      -7.336105298330e-15 
  114       4.855136261092e-10       1.458657090464e-13      -4.936813647871e-12       6.648686673434e-16       8.050994404230e-12       1.290931735390e-12      -7.261149132484e-15 
  115       4.906709409862e-10       1.475583189434e-13      -5.030072967708e-12       6.769366400976e-16       7.861973673497e-12       1.267147449649e-12      -7.186205323856e-15 
  116       4.958449139417e-10       1.491979066340e-13      -5.122161114415e-12       6.891331937112e-16       7.678049150978e-12       1.243900028100e-12      -7.111268633914e-15 
