# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       3.773929110041e-04      -3.005737080104e+00      -2.972674605556e+00      -2.972727535908e+00      -2.985581087314e+00      -2.965543387942e+00      -2.965543387942e+00      -2.965543387942e+00      -2.972658274175e+00       4.625359037739e-01       4.625100769416e-01 
       4.025434788690e-04      -3.025726897705e+00      -3.160073328954e+00      -3.160140804836e+00      -3.001838740737e+00      -3.150820742885e+00      -3.150820742885e+00      -3.150820742885e+00      -3.160019527983e+00       4.624185905129e-01       4.623977583335e-01 
       4.292219025074e-04      -3.032680396569e+00      -3.371973189472e+00      -3.372058927733e+00      -3.004773507123e+00      -3.360000159868e+00      -3.360000159868e+00      -3.360000159868e+00      -3.371872750286e+00       4.622881701891e-01       4.622722433093e-01 
       4.575729919410e-04      -3.024728555699e+00      -3.611939436546e+00      -3.612048057811e+00      -2.992652176070e+00      -3.596476323624e+00      -3.596476323624e+00      -3.596476323624e+00      -3.611781388895e+00       4.621432532209e-01       4.621320324930e-01 
       4.877513850600e-04      -3.000595907788e+00      -3.884081938394e+00      -3.884219175500e+00      -2.964412409272e+00      -3.864138856366e+00      -3.864138856366e+00      -3.864138856366e+00      -3.883853231190e+00       4.619821488712e-01       4.619753095756e-01 
       5.199208549342e-04      -2.960004593418e+00      -4.193123298412e+00      -4.193296219295e+00      -2.920082051942e+00      -4.167426380029e+00      -4.167426380029e+00      -4.167426380029e+00      -4.192808462027e+00       4.618030891403e-01       4.618001700311e-01 
       5.542530722346e-04      -2.904127755342e+00      -4.544467338588e+00      -4.544684601495e+00      -2.861239772760e+00      -4.511377100703e+00      -4.511377100703e+00      -4.511377100703e+00      -4.544048076543e+00       4.616041854228e-01       4.616045866853e-01 
       5.909257103065e-04      -2.836012839156e+00      -4.944263444161e+00      -4.944535655162e+00      -2.791429014871e+00      -4.901670694044e+00      -4.901670694044e+00      -4.901670694044e+00      -4.943718165371e+00       4.613831523911e-01       4.613861473100e-01 
       6.301197960189e-04      -2.760838696329e+00      -5.399464874351e+00      -5.399804838214e+00      -2.716376901726e+00      -5.344659766545e+00      -5.344659766545e+00      -5.344659766545e+00      -5.398767923099e+00       4.611377188973e-01       4.611424840597e-01 
       6.720162457932e-04      -2.685787120756e+00      -5.917870162002e+00      -5.918293239680e+00      -2.643786485240e+00      -5.847378455665e+00      -5.847378455665e+00      -5.847378455665e+00      -5.916990801740e+00       4.608652944022e-01       4.608709620685e-01 
       7.167915877150e-04      -2.619297839644e+00      -6.508144023186e+00      -6.508668419273e+00      -2.582462691073e+00      -6.417525428546e+00      -6.417525428546e+00      -6.417525428546e+00      -6.507044873716e+00       4.605631212887e-01       4.605688539714e-01 
       7.646129584464e-04      -2.569519694961e+00      -7.179808374817e+00      -7.180455330523e+00      -2.540590193011e+00      -7.063412056200e+00      -7.063412056200e+00      -7.063412056200e+00      -7.178443098702e+00       4.602282175936e-01       4.602332988634e-01 
