# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.165860532352e-04      -2.616690674307e+00      -6.536950189638e+00      -6.537480079266e+00      -2.579953279215e+00      -6.536197532175e+00       4.591844778983e-01       4.591963074692e-01 
       7.643905052204e-04      -2.567279575729e+00      -7.211829722388e+00      -7.212483238266e+00      -2.538556186349e+00      -7.210961408909e+00       4.588244451475e-01       4.588349729210e-01 
       8.153921621100e-04      -2.540314436285e+00      -7.978823518034e+00      -7.979625162282e+00      -2.521844034597e+00      -7.977839175481e+00       4.584305355182e-01       4.584389416883e-01 
       8.697226559257e-04      -2.535908299563e+00      -8.849033366048e+00      -8.850010868047e+00      -2.528779846586e+00      -8.847931841354e+00       4.579997851267e-01       4.580057550262e-01 
       9.274874509320e-04      -2.547062185885e+00      -9.834158672721e+00      -9.835342546808e+00      -2.550595672737e+00      -9.832935240553e+00       4.575295244697e-01       4.575332808433e-01 
       9.887609998824e-04      -2.560068406447e+00      -1.094631619342e+01      -1.094773944885e+01      -2.571481234275e+00      -1.094496010450e+01       4.570169233543e-01       4.570191334950e-01 
       1.053583075995e-03      -2.558303485561e+00      -1.219783075261e+01      -1.219952804116e+01      -2.572943370423e+00      -1.219632359828e+01       4.564597188599e-01       4.564612725895e-01 
       1.121956686855e-03      -2.529193340741e+00      -1.360099936700e+01      -1.360300636277e+01      -2.541495632997e+00      -1.359931591838e+01       4.558560041984e-01       4.558577123241e-01 
       1.193847821462e-03      -2.471793110066e+00      -1.516785358083e+01      -1.517020572379e+01      -2.476819813321e+00      -1.516596454448e+01       4.552050678821e-01       4.552073839360e-01 
       1.269187075031e-03      -2.400320528553e+00      -1.690991926118e+01      -1.691265120750e+01      -2.395356785292e+00      -1.690779578185e+01       4.545063414785e-01       4.545092286136e-01 
       1.347872978076e-03      -2.339266967854e+00      -1.883796824459e+01      -1.884111354800e+01      -2.324731288710e+00      -1.883558510493e+01       4.537590401308e-01       4.537620603167e-01 
       1.429776671316e-03      -2.309984680823e+00      -2.096196138798e+01      -2.096555147447e+01      -2.289111413924e+00      -2.095929540179e+01       4.529647387664e-01       4.529673355457e-01 
       1.514747450523e-03      -2.315476652925e+00      -2.329086179491e+01      -2.329492705412e+01      -2.292876862559e+00      -2.328788726607e+01       4.521247443874e-01       4.521265738571e-01 
       1.602618671174e-03      -2.334799818471e+00      -2.583254724622e+01      -2.583711774216e+01      -2.314704185918e+00      -2.582922939367e+01       4.512401902079e-01       4.512413078871e-01 
       1.693213545248e-03      -2.334770941032e+00      -2.859380297185e+01      -2.859891021719e+01      -2.319941785597e+00      -2.859009589121e+01       4.503124535066e-01       4.503132409418e-01 
       1.786350459668e-03      -2.294159488710e+00      -3.158032908319e+01      -3.158600843389e+01      -2.285811997118e+00      -3.157618170890e+01       4.493431420553e-01       4.493440262687e-01 
       1.881847568904e-03      -2.222636812374e+00      -3.479679535924e+01      -3.480308840046e+01      -2.220757751734e+00      -3.479216321472e+01       4.483343450786e-01       4.483355118133e-01 
       1.979526536666e-03      -2.156462276832e+00      -3.824689729218e+01      -3.825385462816e+01      -2.159660513999e+00      -3.824175319154e+01       4.472882892431e-01       4.472895966932e-01 
       2.079215405112e-03      -2.130218271104e+00      -4.193345405103e+01      -4.194113716346e+01      -2.135149523367e+00      -4.192778934149e+01       4.462073876924e-01       4.462085317017e-01 
       2.180750645487e-03      -2.146662528694e+00      -4.585849480016e+01      -4.586697731697e+01      -2.148248516151e+00      -4.585231101474e+01       4.450939712205e-01       4.450947535859e-01 
       2.283978490652e-03      -2.172793096507e+00      -5.002333399508e+01      -5.003270321447e+01      -2.166306794783e+00      -5.001663373164e+01       4.439500298126e-01       4.439505057133e-01 
       2.388755671666e-03      -2.168926572048e+00      -5.442869260784e+01      -5.443904758808e+01      -2.153106124851e+00      -5.442147646393e+01       4.427777568897e-01       4.427781534262e-01 
       2.494949683712e-03      -2.125515091911e+00      -5.907475660172e+01      -5.908620753361e+01      -2.103992772393e+00      -5.906703215360e+01       4.415792116151e-01       4.415797137481e-01 
       2.602438697858e-03      -2.071777198849e+00      -6.396124854366e+01      -6.397391429039e+01      -2.050766352066e+00      -6.395303992697e+01       4.403564734844e-01       4.403570803228e-01 
       2.711111219785e-03      -2.045905639193e+00      -6.908751310473e+01      -6.910151888784e+01      -2.029454285284e+00      -6.907886132896e+01       4.391115966382e-01       4.391121662320e-01 
       2.820865578879e-03      -2.055950436524e+00      -7.445256729943e+01      -7.446804131982e+01      -2.042953554309e+00      -7.444351797734e+01       4.378464948304e-01       4.378469090984e-01 
       2.931609313536e-03      -2.072059821699e+00      -8.005515472466e+01      -8.007222406621e+01      -2.058104691670e+00      -8.004574342536e+01       4.365628500949e-01       4.365631272914e-01 
       3.043258502730e-03      -2.058984149853e+00      -8.589381980349e+01      -8.591260945319e+01      -2.041387263177e+00      -8.588407027653e+01       4.352624360007e-01       4.352626782655e-01 
       3.155737080483e-03      -2.014180356326e+00      -9.196685466251e+01      -9.198748798443e+01      -1.984060369278e+00      -9.195678827258e+01       4.339466015129e-01       4.339468448389e-01 
       3.268976158968e-03      -1.969620753125e+00      -9.827240703498e+01      -9.829500565932e+01      -1.902960525113e+00      -9.826205209785e+01       4.326168275568e-01       4.326171014320e-01 
       3.382913377512e-03      -1.955057838182e+00      -1.048085412326e+02      -1.048332241379e+02      -1.846675185300e+00      -1.047979358206e+02       4.312746869291e-01       4.312749220077e-01 
       3.497492288292e-03      -1.964261217993e+00      -1.115731331652e+02      -1.116000222075e+02      -1.834404497047e+00      -1.115623196757e+02       4.299212921959e-01       4.299214316988e-01 
       3.612661784761e-03      -1.963197596026e+00      -1.185640111901e+02      -1.185932333156e+02      -1.835469183000e+00      -1.185530270144e+02       4.285578255332e-01       4.285579005926e-01 
       3.728375575478e-03      -1.931092699794e+00      -1.257789062324e+02      -1.258105977263e+02      -1.812701918997e+00      -1.257677889226e+02       4.271852863157e-01       4.271853760541e-01 
       3.844591703630e-03      -1.886407733353e+00      -1.332154846674e+02      -1.332497928016e+02      -1.768403286177e+00      -1.332042852981e+02       4.258046506103e-01       4.258047903058e-01 
       3.961272110993e-03      -1.866401025880e+00      -1.408714000601e+02      -1.409084874809e+02      -1.736704332100e+00      -1.408601942465e+02       4.244169683933e-01       4.244171180353e-01 
       4.078382244082e-03      -1.883435709154e+00      -1.487441904666e+02      -1.487842391850e+02      -1.737093198919e+00      -1.487330754481e+02       4.230229736234e-01       4.230230751398e-01 
       4.195890699678e-03      -1.909678976245e+00      -1.568314585463e+02      -1.568746625030e+02      -1.749751949187e+00      -1.568205348222e+02       4.216235546403e-01       4.216236019024e-01 
       4.313768906639e-03      -1.909118538329e+00      -1.651306712554e+02      -1.651772471681e+02      -1.741833231123e+00      -1.651200486268e+02       4.202192415560e-01       4.202192823113e-01 
       4.431990840826e-03      -1.879446267364e+00      -1.736394056571e+02      -1.736895820730e+02      -1.709071520871e+00      -1.736292036309e+02       4.188108523753e-01       4.188109283756e-01 
       4.550532770055e-03      -1.673372566522e+00      -1.823551377023e+02      -1.824091576648e+02      -1.669595455459e+00      -1.823454644801e+02       4.173988638647e-01       4.173988638647e-01 
       4.669373026086e-03      -1.667698490983e+00      -1.912753488229e+02      -1.913334633641e+02      -1.663934191810e+00      -1.912663928408e+02       4.159835479524e-01       4.159835479524e-01 
       4.788491800896e-03      -1.662016072551e+00      -2.003974956662e+02      -2.004599642721e+02      -1.658264602727e+00      -2.003894129880e+02       4.145661506818e-01       4.145661506818e-01 
       4.907870964669e-03      -1.656327293266e+00      -2.097192925438e+02      -2.097863785093e+02      -1.652588665543e+00      -2.097122431214e+02       4.131471663858e-01       4.131471663858e-01 
       5.027493903171e-03      -1.650632899839e+00      -2.192381329080e+02      -2.193101030271e+02      -1.646907127351e+00      -2.192322804185e+02       4.117267818379e-01       4.117267818379e-01 
       5.147345372394e-03      -1.644934355979e+00      -2.289515694771e+02      -2.290286901966e+02      -1.641221446997e+00      -2.289470780517e+02       4.103053617493e-01       4.103053617493e-01 
       5.267411368582e-03      -1.639233536732e+00      -2.388571305148e+02      -2.389396758836e+02      -1.635533496148e+00      -2.388541714080e+02       4.088833740370e-01       4.088833740370e-01 
       5.387679011919e-03      -1.633531806806e+00      -2.489523377974e+02      -2.490405812952e+02      -1.629844636756e+00      -2.489510825409e+02       4.074611591890e-01       4.074611591890e-01 
       5.508136442378e-03      -1.627830939683e+00      -2.592347764012e+02      -2.593290002703e+02      -1.624156638485e+00      -2.592354046056e+02       4.060391596213e-01       4.060391596213e-01 
       5.628772726370e-03      -1.622132020296e+00      -2.697020214108e+02      -2.698025168493e+02      -1.618470583506e+00      -2.697047209303e+02       4.046176458764e-01       4.046176458764e-01 
       5.749577773000e-03      -1.616435862343e+00      -2.803515203703e+02      -2.804585907522e+02      -1.612787284233e+00      -2.803564900404e+02       4.031968210582e-01       4.031968210582e-01 
       5.870542258865e-03      -1.610744530258e+00      -2.911809564603e+02      -2.912949222670e+02      -1.607108800963e+00      -2.911884101596e+02       4.017772002407e-01       4.017772002407e-01 
