# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       3.773929110041e-04      -3.007375758871e+00      -2.972670269026e+00      -2.972729256211e+00      -2.985582428640e+00      -2.965545109594e+00      -2.965545109594e+00      -2.965545109594e+00      -2.972659316304e+00       4.625360835685e-01       4.625102209611e-01 
       4.025434788690e-04      -3.027618796457e+00      -3.160067476891e+00      -3.160142744200e+00      -3.001839999260e+00      -3.150822680088e+00      -3.150822680088e+00      -3.150822680088e+00      -3.160020556479e+00       4.624187528973e-01       4.623978822997e-01 
       4.292219025074e-04      -3.034819597652e+00      -3.371965332423e+00      -3.372061071284e+00      -3.004774614611e+00      -3.360002298307e+00      -3.360002298307e+00      -3.360002298307e+00      -3.371873673245e+00       4.622883186400e-01       4.622723532603e-01 
       4.575729919410e-04      -3.027087593928e+00      -3.611928987663e+00      -3.612050422168e+00      -2.992653221232e+00      -3.596478682702e+00      -3.596478682702e+00      -3.596478682702e+00      -3.611782121446e+00       4.621433979229e-01       4.621321416401e-01 
       4.877513850600e-04      -3.003116932050e+00      -3.884068158018e+00      -3.884221787756e+00      -2.964413294434e+00      -3.864141459613e+00      -3.864141459613e+00      -3.864141459613e+00      -3.883853667323e+00       4.619822607435e-01       4.619753922746e-01 
       5.199208549342e-04      -2.962590520445e+00      -4.193105217070e+00      -4.193299083130e+00      -2.920082763057e+00      -4.167429233969e+00      -4.167429233969e+00      -4.167429233969e+00      -4.192808432344e+00       4.618031613434e-01       4.618002231200e-01 
       5.542530722346e-04      -2.906633860276e+00      -4.544443702279e+00      -4.544687695883e+00      -2.861240160230e+00      -4.511380180565e+00      -4.511380180565e+00      -4.511380180565e+00      -4.544047336800e+00       4.616041866426e-01       4.616045825163e-01 
       5.909257103065e-04      -2.838242382820e+00      -4.944232636511e+00      -4.944538920972e+00      -2.791428947064e+00      -4.901673937130e+00      -4.901673937130e+00      -4.901673937130e+00      -4.943716372044e+00       4.613830568032e-01       4.613860633144e-01 
       6.301197960189e-04      -2.762546472357e+00      -5.399424848430e+00      -5.399808187106e+00      -2.716376278625e+00      -5.344663084538e+00      -5.344663084538e+00      -5.344663084538e+00      -5.398764630602e+00       4.611375017629e-01       4.611422978164e-01 
       6.720162457932e-04      -2.686697014399e+00      -5.917818453909e+00      -5.918296656766e+00      -2.643785470585e+00      -5.847381854628e+00      -5.847381854628e+00      -5.847381854628e+00      -5.916985554096e+00       4.608649626870e-01       4.608706812829e-01 
