# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=5.23499e-06 to 105.958 h/Mpc,
# number of wavenumbers equal to 575
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       2.460431462392e-04      -3.499688781429e+00      -4.211227630740e+00      -4.211427778793e+00      -3.439429921771e+00      -4.179872349095e+00      -4.179872349095e+00      -4.179872349095e+00      -4.208763026617e+00       2.863398130598e-01       2.863331019740e-01 
       2.595343344976e-04      -3.447254920719e+00      -4.443281726606e+00      -4.443521326172e+00      -3.379437776767e+00      -4.404586568809e+00      -4.404586568809e+00      -4.404586568809e+00      -4.440116150467e+00       2.858372733157e-01       2.858430105057e-01 
       2.734801132374e-04      -3.383317938479e+00      -4.695530832241e+00      -4.695815645813e+00      -3.308012695707e+00      -4.648005970344e+00      -4.648005970344e+00      -4.648005970344e+00      -4.691549404145e+00       2.853057758296e-01       2.853221761561e-01 
       2.879153558390e-04      -3.309685254501e+00      -4.969786405410e+00      -4.970122742438e+00      -3.227218056160e+00      -4.911662440745e+00      -4.911662440745e+00      -4.911662440745e+00      -4.964858941095e+00       2.847439568610e-01       2.847690635282e-01 
       3.028772851424e-04      -3.228832510769e+00      -5.268061651654e+00      -5.268456330441e+00      -3.139824706695e+00      -5.197238870145e+00      -5.197238870145e+00      -5.197238870145e+00      -5.262040376126e+00       2.841504692090e-01       2.841822019406e-01 
       3.184056242146e-04      -3.143844676725e+00      -5.592588694560e+00      -5.593048990762e+00      -3.049243623122e+00      -5.506575496879e+00      -5.506575496879e+00      -5.506575496879e+00      -5.585305283199e+00       2.835235528010e-01       2.835597702085e-01 
       3.345427431115e-04      -3.058291514938e+00      -5.945842581540e+00      -5.946376187164e+00      -2.959386538965e+00      -5.841683083002e+00      -5.841683083002e+00      -5.841683083002e+00      -5.937104452209e+00       2.828612424135e-01       2.828998183030e-01 
       3.513337974070e-04      -2.976001787562e+00      -6.330566954281e+00      -6.331181921181e+00      -2.874418417825e+00      -6.204755625205e+00      -6.204755625205e+00      -6.204755625205e+00      -6.320152585629e+00       2.821613552297e-01       2.822002675707e-01 
       3.688268531547e-04      -2.900723984981e+00      -6.749798833066e+00      -6.750503436191e+00      -2.798388719432e+00      -6.598179100356e+00      -6.598179100356e+00      -6.598179100356e+00      -6.737451822049e+00       2.814212159499e-01       2.814586448275e-01 
       3.870729916851e-04      -2.835681305209e+00      -7.206899256057e+00      -7.207701836476e+00      -2.734751012083e+00      -7.024544826342e+00      -7.024544826342e+00      -7.024544826342e+00      -7.192320929419e+00       2.806379454951e-01       2.806723739582e-01 
       4.061263862366e-04      -2.783028458344e+00      -7.705577371856e+00      -7.706486297763e+00      -2.685780029832e+00      -7.486652060908e+00      -7.486652060908e+00      -7.486652060908e+00      -7.688417624490e+00       2.798079262961e-01       2.798382351199e-01 
       4.260443409047e-04      -2.743287731634e+00      -8.249924268740e+00      -8.250947718110e+00      -2.651968887379e+00      -7.987518837238e+00      -7.987518837238e+00      -7.987518837238e+00      -8.229770514774e+00       2.789272806343e-01       2.789528248772e-01 
       4.468872808378e-04      -2.714846207327e+00      -8.844448102220e+00      -8.845593778785e+00      -2.631495770105e+00      -8.530391236097e+00      -8.530391236097e+00      -8.530391236097e+00      -8.820812245196e+00       2.779919505776e-01       2.780126038189e-01 
       4.687186811082e-04      -2.693668206033e+00      -9.494093932917e+00      -9.495368974501e+00      -2.619925206124e+00      -9.118731960777e+00      -9.118731960777e+00      -9.118731960777e+00      -9.466397301620e+00       2.769972903889e-01       2.770134409751e-01 
       4.916049203903e-04      -2.673413815434e+00      -1.020426643767e+01      -1.020567748979e+01      -2.610344093514e+00      -9.756210138952e+00      -9.756210138952e+00      -9.756210138952e+00      -1.017182302171e+01       2.759380205459e-01       2.759505070678e-01 
       5.156150446743e-04      -2.646160218494e+00      -1.098087578872e+01      -1.098242862338e+01      -2.594140105355e+00      -1.044671504211e+01      -1.044671504211e+01      -1.044671504211e+01      -1.094287442466e+01       2.748093489961e-01       2.748193281534e-01 
       5.408204259922e-04      -2.603815471201e+00      -1.183031839717e+01      -1.183201857417e+01      -2.562512930970e+00      -1.119429559015e+01      -1.119429559015e+01      -1.119429559015e+01      -1.178580420534e+01       2.736056142189e-01       2.736143655076e-01 
       5.672943018196e-04      -2.540220851351e+00      -1.275952738370e+01      -1.276138004804e+01      -2.508704564368e+00      -1.200317846656e+01      -1.200317846656e+01      -1.200317846656e+01      -1.270738359284e+01       2.723220521755e-01       2.723307408272e-01 
       5.951111827701e-04      -2.453541834344e+00      -1.377593655457e+01      -1.377794744420e+01      -2.430516929498e+00      -1.287769222665e+01      -1.287769222665e+01      -1.287769222665e+01      -1.371486669781e+01       2.709536813710e-01       2.709631200012e-01 
       6.243461197453e-04      -2.348275701654e+00      -1.488750816794e+01      -1.488968386587e+01      -2.332396046460e+00      -1.382226593899e+01      -1.382226593899e+01      -1.382226593899e+01      -1.481601876757e+01       2.694966767890e-01       2.695071428894e-01 
       6.550738270942e-04      -2.235783465419e+00      -1.610265132335e+01      -1.610500110277e+01      -2.225933398773e+00      -1.484131703195e+01      -1.484131703195e+01      -1.484131703195e+01      -1.601903354942e+01       2.679470033341e-01       2.679581752276e-01 
       6.873676657178e-04      -2.132340730113e+00      -1.743022708796e+01      -1.743276382967e+01      -2.127739950779e+00      -1.593924273359e+01      -1.593924273359e+01      -1.593924273359e+01      -1.733253561177e+01       2.663017074318e-01       2.663127656359e-01 
       7.212984993420e-04      -2.054195623393e+00      -1.887947026932e+01      -1.888221186319e+01      -2.054202618770e+00      -1.712033495687e+01      -1.712033495687e+01      -1.712033495687e+01      -1.876549662312e+01       2.645584365648e-01       2.645683346548e-01 
       7.569334480077e-04      -2.010567088288e+00      -2.045989670662e+01      -2.046286756754e+01      -2.014173327688e+00      -1.838869706102e+01      -1.838869706102e+01      -1.838869706102e+01      -2.032713589339e+01       2.627150667515e-01       2.627229093707e-01 
       7.943345744599e-04      -1.997370620614e+00      -2.218119238180e+01      -2.218442494461e+01      -2.002588498495e+00      -1.974816018575e+01      -1.974816018575e+01      -1.974816018575e+01      -2.202680449125e+01       2.607698911513e-01       2.607752890729e-01 
