# Matter power spectrum P(k) at redshift z=0
# for k=1.024e-05 to 131.393 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.305670478647e-02       3.042518991288e+04 
       1.318247419131e-02       3.048111717621e+04 
       1.330827959275e-02       3.053444458695e+04 
       1.343412106281e-02       3.058511195998e+04 
       1.355999869697e-02       3.063314982694e+04 
       1.368591261376e-02       3.067860321273e+04 
       1.381186295437e-02       3.072149075367e+04 
       1.393784988230e-02       3.076186100574e+04 
       1.406387358304e-02       3.079972756258e+04 
       1.418993426380e-02       3.083512448978e+04 
       1.431603215326e-02       3.086809771509e+04 
       1.444216750136e-02       3.089865867921e+04 
       1.456834057907e-02       3.092686696484e+04 
       1.469455167827e-02       3.095267373439e+04 
       1.482080111159e-02       3.097625123559e+04 
       1.494708921230e-02       3.099746037323e+04 
       1.507341633423e-02       3.101634154010e+04 
       1.519978285168e-02       3.103326906955e+04 
       1.532618915940e-02       3.104790971039e+04 
       1.545263567257e-02       3.106034733364e+04 
       1.557912282678e-02       3.107062121021e+04 
       1.570565107806e-02       3.107870281118e+04 
       1.583222090294e-02       3.108486033768e+04 
       1.595883279846e-02       3.108898505324e+04 
       1.608548728231e-02       3.109095303574e+04 
       1.621218489289e-02       3.109094905706e+04 
       1.633892618941e-02       3.108916889244e+04 
       1.646571175207e-02       3.108531580270e+04 
       1.659254218217e-02       3.107950414277e+04 
       1.671941810232e-02       3.107173325989e+04 
       1.684634015656e-02       3.106229114322e+04 
       1.697330901063e-02       3.105101736067e+04 
       1.710032535216e-02       3.103791518550e+04 
       1.722738989088e-02       3.102290172460e+04 
       1.735450335894e-02       3.100622300329e+04 
       1.748166651109e-02       3.098781246882e+04 
       1.760888012505e-02       3.096756434106e+04 
       1.773614500174e-02       3.094572822635e+04 
       1.786346196567e-02       3.092231843564e+04 
       1.799083186519e-02       3.089722835082e+04 
       1.811825557293e-02       3.087059021617e+04 
       1.824573398610e-02       3.084238109676e+04 
       1.837326802690e-02       3.081244176301e+04 
       1.850085864292e-02       3.078104295573e+04 
       1.862850680759e-02       3.074823022296e+04 
       1.875621352054e-02       3.071388403299e+04 
       1.888397980812e-02       3.067813927994e+04 
       1.901180672387e-02       3.064104306916e+04 
       1.913969534896e-02       3.060217301877e+04 
       1.926764679274e-02       3.056208440906e+04 
       1.939566219325e-02       3.052072438209e+04 
       1.952374271780e-02       3.047796511877e+04 
       1.965188956345e-02       3.043403744444e+04 
       1.978010395770e-02       3.038846652673e+04 
       1.990838715901e-02       3.034184390335e+04 
       2.003674045748e-02       3.029397184125e+04 
       2.016516517545e-02       3.024478997865e+04 
       2.029366266823e-02       3.019443198611e+04 
       2.042223432471e-02       3.014307920018e+04 
       2.055088156815e-02       3.009010568722e+04 
       2.067960585684e-02       3.003629749489e+04 
       2.080840868494e-02       2.998126534753e+04 
       2.093729158320e-02       2.992520259240e+04 
       2.106625611978e-02       2.986798312995e+04 
       2.119530390110e-02       2.980971693503e+04 
       2.132443657271e-02       2.975039750035e+04 
       2.145365582014e-02       2.969005656740e+04 
       2.158296336985e-02       2.962874738895e+04 
       2.171236099015e-02       2.956650663891e+04 
       2.184185049218e-02       2.950328902538e+04 
       2.197143373095e-02       2.943897655114e+04 
       2.210111260630e-02       2.937367216092e+04 
       2.223088906404e-02       2.930761569826e+04 
       2.236076509703e-02       2.924064154621e+04 
       2.249074274629e-02       2.917277782801e+04 
       2.262082410221e-02       2.910406170786e+04 
       2.275101130574e-02       2.903454925525e+04 
       2.288130654964e-02       2.896425237836e+04 
       2.301171207977e-02       2.889323279827e+04 
       2.314223019641e-02       2.882113020056e+04 
       2.327286325563e-02       2.874833389720e+04 
       2.340361367074e-02       2.867490896972e+04 
       2.353448391368e-02       2.860071765148e+04 
       2.366547651660e-02       2.852580463142e+04 
       2.379659407334e-02       2.845019253469e+04 
       2.392783924111e-02       2.837390219054e+04 
       2.405921474210e-02       2.829719014964e+04 
       2.419072336519e-02       2.821943027538e+04 
       2.432236796775e-02       2.814112854182e+04 
       2.445415147744e-02       2.806230602687e+04 
       2.458607689408e-02       2.798285306595e+04 
       2.471814729166e-02       2.790281530895e+04 
       2.485036582029e-02       2.782220783073e+04 
       2.498273570831e-02       2.774114585094e+04 
       2.511526026445e-02       2.765957518347e+04 
       2.524794288002e-02       2.757715151069e+04 
       2.538078703128e-02       2.749437366160e+04 
       2.551379628174e-02       2.741116713521e+04 
       2.564697428468e-02       2.732745480777e+04 
       2.578032478567e-02       2.724326824858e+04 
       2.591385162523e-02       2.715863091215e+04 
       2.604755874155e-02       2.707376825002e+04 
       2.618145017332e-02       2.698802635942e+04 
       2.631553006265e-02       2.690212752638e+04 
       2.644980265814e-02       2.681579507013e+04 
       2.658427231796e-02       2.672911218204e+04 
       2.671894351318e-02       2.664203039857e+04 
       2.685382083112e-02       2.655459563362e+04 
       2.698890897883e-02       2.646678322465e+04 
       2.712421278678e-02       2.637868128737e+04 
       2.725973721256e-02       2.629027179298e+04 
       2.739548734487e-02       2.620160780292e+04 
       2.753146840751e-02       2.611245845256e+04 
       2.766768576366e-02       2.602304427417e+04 
       2.780414492022e-02       2.593347090242e+04 
       2.794085153237e-02       2.584344547719e+04 
       2.807781140831e-02       2.575329232711e+04 
       2.821503051417e-02       2.566285150015e+04 
       2.835251497913e-02       2.557219142462e+04 
       2.849027110071e-02       2.548137072363e+04 
       2.862830535034e-02       2.539045267265e+04 
       2.876662437909e-02       2.529899633682e+04 
       2.890523502369e-02       2.520751603492e+04 
       2.904414431275e-02       2.511577474975e+04 
       2.918335947327e-02       2.502392718993e+04 
       2.932288793744e-02       2.493188549263e+04 
       2.946273734967e-02       2.483969459988e+04 
       2.960291557399e-02       2.474749828837e+04 
       2.974343070174e-02       2.465496531808e+04 
       2.988429105957e-02       2.456227871329e+04 
       3.002550521783e-02       2.446966848547e+04 
       3.016708199932e-02       2.437671546588e+04 
       3.030903048843e-02       2.428378574055e+04 
       3.045136004070e-02       2.419070718872e+04 
       3.059408029281e-02       2.409760363027e+04 
       3.073720117301e-02       2.400444297036e+04 
       3.088073291206e-02       2.391101092007e+04 
       3.102468605472e-02       2.381767685620e+04 
       3.116907147166e-02       2.372419899443e+04 
       3.131390037212e-02       2.363072945599e+04 
       3.145918431699e-02       2.353713780455e+04 
       3.160493523265e-02       2.344372484820e+04 
       3.175116542549e-02       2.334995235772e+04 
       3.189788759709e-02       2.325622079152e+04 
       3.204511486017e-02       2.316266181564e+04 
       3.219286075541e-02       2.306887624336e+04 
       3.234113926908e-02       2.297507837680e+04 
       3.248996485157e-02       2.288131872064e+04 
       3.263935243694e-02       2.278755876954e+04 
       3.278931746343e-02       2.269383253941e+04 
       3.293987589517e-02       2.260023351465e+04 
       3.309104424491e-02       2.250640577686e+04 
       3.324283959815e-02       2.241262662412e+04 
       3.339527963850e-02       2.231885482693e+04 
       3.354838267444e-02       2.222518668843e+04 
       3.370216766768e-02       2.213150237543e+04 
       3.385665426301e-02       2.203776930503e+04 
       3.401186282001e-02       2.194421661744e+04 
       3.416781444647e-02       2.185064938377e+04 
       3.432453103385e-02       2.175707593495e+04 
       3.448203529487e-02       2.166344435419e+04 
       3.464035080331e-02       2.157000809759e+04 
       3.479950203627e-02       2.147655566755e+04 
       3.495951441903e-02       2.138313958069e+04 
       3.512041437275e-02       2.128976751665e+04 
       3.528222936510e-02       2.119643606716e+04 
       3.544498796423e-02       2.110308643016e+04 
       3.560871989618e-02       2.100987658952e+04 
       3.577345610607e-02       2.091661299196e+04 
       3.593922882337e-02       2.082346800250e+04 
       3.610607163159e-02       2.073046374527e+04 
       3.627401954264e-02       2.063736177793e+04 
       3.644310907647e-02       2.054425642525e+04 
       3.661337834616e-02       2.045134385302e+04 
       3.678486714915e-02       2.035842668117e+04 
       3.695761706500e-02       2.026553897128e+04 
       3.713167156030e-02       2.017271096636e+04 
       3.730707610138e-02       2.007983350623e+04 
       3.748387827544e-02       1.998705931612e+04 
       3.766212792096e-02       1.989431309606e+04 
       3.784187726823e-02       1.980159232886e+04 
       3.802318109082e-02       1.970892219434e+04 
       3.820609686922e-02       1.961630168887e+04 
       3.839068496773e-02       1.952365091907e+04 
       3.857700882583e-02       1.943099886441e+04 
       3.876513516560e-02       1.933830760318e+04 
       3.895513421671e-02       1.924567762154e+04 
       3.914707996089e-02       1.915305367734e+04 
       3.934105039770e-02       1.906040690746e+04 
       3.953712783418e-02       1.896779752530e+04 
       3.973539920062e-02       1.887506105188e+04 
       3.993595639556e-02       1.878232930073e+04 
       4.013889666314e-02       1.868956686866e+04 
       4.034432300653e-02       1.859675690778e+04 
       4.055234464161e-02       1.850395467381e+04 
       4.076307749556e-02       1.841094922033e+04 
       4.097664475587e-02       1.831790954324e+04 
       4.119317747582e-02       1.822489721348e+04 
       4.141281524343e-02       1.813157264938e+04 
       4.163570692203e-02       1.803821939292e+04 
       4.186201147165e-02       1.794473893222e+04 
       4.209189886184e-02       1.785110215015e+04 
       4.232555108830e-02       1.775736489307e+04 
       4.256316330751e-02       1.766331245675e+04 
       4.280494510593e-02       1.756912426779e+04 
       4.305112192309e-02       1.747473630646e+04 
       4.330193665092e-02       1.738001397323e+04 
       4.355765143591e-02       1.728506948568e+04 
       4.381854971490e-02       1.718982626949e+04 
       4.408493852127e-02       1.709426406268e+04 
       4.435715110455e-02       1.699843311813e+04 
       4.463554991504e-02       1.690209595191e+04 
       4.492053001465e-02       1.680533739810e+04 
       4.521252298709e-02       1.670808926626e+04 
       4.551200143559e-02       1.661038819047e+04 
       4.581948417415e-02       1.651214047621e+04 
       4.613554224081e-02       1.641328944323e+04 
       4.646080588911e-02       1.631376573101e+04 
       4.679597274847e-02       1.621357745897e+04 
       4.714181738722e-02       1.611256976220e+04 
       4.749920256636e-02       1.601078412423e+04 
       4.786909254018e-02       1.590799749289e+04 
