# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.165860532352e-04      -2.616690672712e+00      -6.536950187284e+00      -6.537480076909e+00      -2.579953277665e+00      -6.536197529818e+00       4.591844775884e-01       4.591963071592e-01 
       7.643905052204e-04      -2.567279574268e+00      -7.211829719582e+00      -7.212483235455e+00      -2.538556184933e+00      -7.210961406099e+00       4.588244448378e-01       4.588349726114e-01 
       8.153921621100e-04      -2.540314434887e+00      -7.978823514740e+00      -7.979625158979e+00      -2.521844033233e+00      -7.977839172181e+00       4.584305352114e-01       4.584389413814e-01 
       8.697226559257e-04      -2.535908298087e+00      -8.849033362095e+00      -8.850010864092e+00      -2.528779845140e+00      -8.847931837400e+00       4.579997848141e-01       4.580057547135e-01 
       9.274874509320e-04      -2.547062186484e+00      -9.834158690670e+00      -9.835342564754e+00      -2.550595675426e+00      -9.832935258494e+00       4.575295117477e-01       4.575332681218e-01 
       9.887609998824e-04      -2.560068404736e+00      -1.094631618814e+01      -1.094773944356e+01      -2.571481232551e+00      -1.094496009921e+01       4.570169230475e-01       4.570191331882e-01 
       1.053583075995e-03      -2.558303483712e+00      -1.219783074652e+01      -1.219952803506e+01      -2.572943368548e+00      -1.219632359217e+01       4.564597185548e-01       4.564612722845e-01 
       1.121956686855e-03      -2.529193141246e+00      -1.360099926470e+01      -1.360300626031e+01      -2.541495462011e+00      -1.359931581591e+01       4.558560335116e-01       4.558577416367e-01 
       1.193847821462e-03      -2.471793108952e+00      -1.516785357309e+01      -1.517020571604e+01      -2.476819812279e+00      -1.516596453674e+01       4.552050674591e-01       4.552073835129e-01 
       1.269187075031e-03      -2.400320526861e+00      -1.690991925199e+01      -1.691265119829e+01      -2.395356783606e+00      -1.690779577264e+01       4.545063411758e-01       4.545092283109e-01 
       1.347872978076e-03      -2.339266966720e+00      -1.883796823331e+01      -1.884111353669e+01      -2.324731287604e+00      -1.883558509363e+01       4.537590398787e-01       4.537620600647e-01 
