# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.841919460967e-10       8.671649883097e-15       2.630602301973e-13       8.277286435998e-17       9.980303676002e-11       1.118767821745e-11      -8.626066138311e-15 
   41       1.868694817660e-10       9.410470186234e-15       2.520644827509e-13       8.696338628360e-17       9.486231905934e-11       1.067085039285e-11      -6.852223902401e-15 
   42       1.895622966939e-10       1.019250389920e-14       2.398845954674e-13       9.126093429043e-17       9.024162902955e-11       1.018506870698e-11      -6.480953852648e-15 
   43       1.922808542540e-10       1.101724689049e-14       2.263838048677e-13       9.566577496802e-17       8.592865629111e-11       9.730665075461e-12      -7.180994668723e-15 
   44       1.950332687241e-10       1.188384637901e-14       2.113985933506e-13       1.001781704948e-16       8.189197171884e-11       9.306290970162e-12      -8.528847508369e-15 
   45       1.978246441667e-10       1.279142203097e-14       1.947546999139e-13       1.047983316998e-16       7.809225055710e-11       8.909546513875e-12      -1.007779045297e-14 
   46       2.006555509600e-10       1.374019262380e-14       1.763251825619e-13       1.095262620503e-16       7.452352899332e-11       8.539425198557e-12      -1.160323449406e-14 
   47       2.035225917059e-10       1.473065091191e-14       1.559865942029e-13       1.143618659086e-16       7.118169303727e-11       8.194359551667e-12      -1.292082378464e-14 
   48       2.064184195913e-10       1.576324998462e-14       1.336018591246e-13       1.193049875331e-16       6.805203704491e-11       7.871419626666e-12      -1.381650336608e-14 
   49       2.093314221384e-10       1.683840220245e-14       1.090194664906e-13       1.243554077578e-16       6.510847591396e-11       7.566215997185e-12      -1.404501146334e-14 
