# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.408774065952e+04       1.510553298844e-10       1.313852593230e+18       2.869287227187e-09       2.081614238068e+44       2.006383465810e+33       1.086497713064e+34       3.759359733323e-08       1.439995970030e+44       3.521610208226e+44       3.521610208226e+44       1.173870069366e+44      -9.448119297657e+52       7.804401752313e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.408774065952e+04       1.521127171936e-10       1.304719556336e+18       2.889372237777e-09       2.024334923495e+44       1.964832479430e+33       1.063997003481e+34       3.759359733323e-08       1.400371922191e+44       3.424706845811e+44       3.424706845811e+44       1.141568948562e+44      -9.124267633420e+52       8.584841927543e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.408774065952e+04       1.531775062140e-10       1.295650006292e+18       2.909597843442e-09       1.968631751041e+44       1.924141988812e+33       1.041962269965e+34       3.759359733323e-08       1.361838200436e+44       3.330469951600e+44       3.330469951600e+44       1.110156650492e+44      -8.811516580545e+52       9.365282102774e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014588e-26       5.074980435893e-09       1.799673901845e+22       1.408774065952e+04       1.542497487575e-10       1.286643501780e+18       2.929965028346e-09       1.914461350357e+44       1.884294173609e+33       1.020383862434e+34       3.759359733323e-08       1.324364802505e+44       3.238826152983e+44       3.238826152983e+44       1.079608717621e+44      -8.509485645164e+52       1.014572227800e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.408774065952e+04       1.553294969988e-10       1.277699604548e+18       2.950474783544e-09       1.861781544502e+44       1.845271582526e+33       9.992523306542e+33       3.759359733323e-08       1.287922551705e+44       3.149704096326e+44       3.149704096326e+44       1.049901365402e+44      -8.217807375535e+52       1.092616245324e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.408774065952e+04       1.564168034778e-10       1.268817879392e+18       2.971128107029e-09       1.810551317112e+44       1.807057125669e+33       9.785584200989e+33       3.759359733323e-08       1.252483074190e+44       3.063034391418e+44       3.063034391418e+44       1.021011463767e+44      -7.936126915001e+52       1.170660262847e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.408774065952e+04       1.575117211021e-10       1.259997894133e+18       2.991926003778e-09       1.760730780460e+44       1.769634067068e+33       9.582930678975e+33       3.759359733323e-08       1.218018776871e+44       2.978749557444e+44       2.978749557444e+44       9.929165191103e+43      -7.664101570269e+52       1.248704280370e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.408774065952e+04       1.586143031498e-10       1.251239219596e+18       3.012869485804e-09       1.712281144399e+44       1.732986017345e+33       9.384473988662e+33       3.759359733323e-08       1.184502825932e+44       2.896783970443e+44       2.896783970443e+44       9.655946567772e+43      -7.401400394488e+52       1.326748297893e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.408774065952e+04       1.597246032719e-10       1.242541429589e+18       3.033959572205e-09       1.665164686165e+44       1.697096926535e+33       9.190127216208e+33       3.759359733323e-08       1.151909125938e+44       2.817073812212e+44       2.817073812212e+44       9.390246040343e+43      -7.147703784620e+52       1.404792315416e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.408774065952e+04       1.608426754948e-10       1.233904100883e+18       3.055197289210e-09       1.619344721000e+44       1.661951077059e+33       8.999805247701e+33       3.759359733323e-08       1.120212299515e+44       2.739557020621e+44       2.739557020621e+44       9.131856735048e+43      -6.902703092610e+52       1.482836332939e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.408774065952e+04       1.619685742232e-10       1.225326813190e+18       3.076583670234e-09       1.574785573594e+44       1.627533076840e+33       8.813424731891e+33       3.759359733323e-08       1.089387667592e+44       2.664173241290e+44       2.664173241290e+44       8.880577470620e+43      -6.666100249880e+52       1.560880350462e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.408774065952e+04       1.631023542428e-10       1.216809149146e+18       3.098119755926e-09       1.531452550306e+44       1.593827852559e+33       8.630904043679e+33       3.759359733323e-08       1.059411230189e+44       2.590863780597e+44       2.590863780597e+44       8.636212601650e+43      -6.437607404703e+52       1.638924367985e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.408774065952e+04       1.642440707225e-10       1.208350694286e+18       3.119806594217e-09       1.489311912151e+44       1.560820643058e+33       8.452163248374e+33       3.759359733323e-08       1.030259647727e+44       2.519571559978e+44       2.519571559978e+44       8.398571866260e+43      -6.216946571998e+52       1.716968385508e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.408774065952e+04       1.653937792176e-10       1.199951037027e+18       3.141645240377e-09       1.448330848536e+44       1.528496992875e+33       8.277124066682e+33       3.759359733323e-08       1.001910222855e+44       2.450241071488e+44       2.450241071488e+44       8.167470237968e+43      -6.003849295134e+52       1.795012403031e-06       6.232893980709e+00 
