# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.164814070611e-04      -2.616829678770e+00      -6.535530143417e+00      -6.536059795261e+00      -2.580076656801e+00      -6.534778081744e+00       4.591859756558e-01       4.591978037109e-01 
       7.642754516026e-04      -2.567375757938e+00      -7.210166966490e+00      -7.210820186931e+00      -2.538630494862e+00      -7.209299318951e+00       4.588261206301e-01       4.588366497586e-01 
       8.152659333972e-04      -2.540357261249e+00      -7.976881036873e+00      -7.977682318667e+00      -2.521860342913e+00      -7.975897436319e+00       4.584324031689e-01       4.584408128348e-01 
       8.695845120546e-04      -2.535902386576e+00      -8.846770417069e+00      -8.847747479095e+00      -2.528746150172e+00      -8.845669722337e+00       4.580018698128e-01       4.580078441766e-01 
       9.273366989552e-04      -2.547031482490e+00      -9.831531024120e+00      -9.832714371035e+00      -2.550540874240e+00      -9.830308531276e+00       4.575318231788e-01       4.575355836180e-01 
       9.885970128911e-04      -2.560053222551e+00      -1.094327636949e+01      -1.094469900233e+01      -2.571451265546e+00      -1.094192136020e+01       4.570195062167e-01       4.570217188394e-01 
       1.053405309852e-03      -2.558347149571e+00      -1.219432867734e+01      -1.219602525793e+01      -2.572985997290e+00      -1.219282279328e+01       4.564625815943e-01       4.564641356388e-01 
       1.121764693252e-03      -2.529320623819e+00      -1.359698329138e+01      -1.359898945331e+01      -2.541636901059e+00      -1.359530130821e+01       4.558592314479e-01       4.558609379901e-01 
       1.193641256173e-03      -2.471990432205e+00      -1.516327050884e+01      -1.516562171046e+01      -2.477042724954e+00      -1.516138317617e+01       4.552085368215e-01       4.552108504488e-01 
       1.268965700769e-03      -2.400531497570e+00      -1.690471543667e+01      -1.690744633352e+01      -2.395597371343e+00      -1.690259391263e+01       4.545101309399e-01       4.545130161716e-01 
       1.347636662007e-03      -2.339417814549e+00      -1.883209074752e+01      -1.883523489477e+01      -2.324906586780e+00      -1.882970982280e+01       4.537632336377e-01       4.537662534386e-01 
       1.429525377859e-03      -2.310028251102e+00      -2.095535754679e+01      -2.095894637307e+01      -2.289167202108e+00      -2.095269405134e+01       4.529692502960e-01       4.529718482987e-01 
       1.514481230526e-03      -2.315436110265e+00      -2.328348089439e+01      -2.328754479341e+01      -2.292834191599e+00      -2.328050917121e+01       4.521296030650e-01       4.521314344922e-01 
