# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:T_dmeff               13:cdmeff2               14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       8.283317249071e+13       1.101756305258e-25       5.597030394711e-09       1.480165695141e+22       1.429062974619e+04       1.725230281116e-10       1.183738198767e+18       3.230973031766e-09       1.295377210063e+44       1.405759224491e+33       7.291229805841e+33       2.257618112874e+14       2.593955889278e+06       3.815882481151e-08       8.955132749226e+43       2.190890485073e+44       2.190890485073e+44       7.302968283286e+43      -5.219939210628e+52       2.199420836649e-06       5.309502279863e+00 
       8.225737089444e+13       1.117234879590e-25       5.635229172185e-09       1.459658946601e+22       1.429062974619e+04       1.737306893084e-10       1.175509631348e+18       3.253589842988e-09       1.259732604377e+44       1.376646802372e+33       7.140232852607e+33       2.241924640398e+14       2.575924418356e+06       3.815882481151e-08       8.708716359288e+43       2.130604240391e+44       2.130604240391e+44       7.102014134354e+43      -5.041016194595e+52       2.280880867636e-06       5.119877198440e+00 
       8.168557189121e+13       1.132930912413e-25       5.675246939063e-09       1.439436305939e+22       1.429062974619e+04       1.749468041336e-10       1.167338263503e+18       3.276364971889e-09       1.225068823353e+44       1.348137280882e+33       6.992362954821e+33       2.226340258594e+14       2.558018290331e+06       3.815882481151e-08       8.469080554175e+43       2.071976878854e+44       2.071976878854e+44       6.906589595903e+43      -4.868226093980e+52       2.362340898622e-06       4.943329708838e+00 
       8.111774765760e+13       1.148847458802e-25       5.715264705941e-09       1.419493837023e+22       1.429062974619e+04       1.761714317625e-10       1.159223697620e+18       3.299299526692e-09       1.191358877859e+44       1.320218174315e+33       6.847555353058e+33       2.210864209136e+14       2.540236633901e+06       3.815882481151e-08       8.236038754048e+43       2.014962753345e+44       2.014962753345e+44       6.716542510878e+43      -4.701358691829e+52       2.443800929609e-06       4.778552051877e+00 
       8.055387056366e+13       1.164987616750e-25       5.755282472819e-09       1.399827658252e+22       1.429062974619e+04       1.774046317848e-10       1.151165538848e+18       3.322394623378e-09       1.158576521413e+44       1.292877255535e+33       6.705746629023e+33       2.195495738969e+14       2.522578583821e+06       3.815882481151e-08       8.009409513143e+43       1.959517472807e+44       1.959517472807e+44       6.531724909091e+43      -4.540210976759e+52       2.525260960596e-06       4.624405211494e+00 
       7.999391317146e+13       1.181354527778e-25       5.795300239697e-09       1.380433941804e+22       1.429062974619e+04       1.786464642073e-10       1.143163395082e+18       3.345651385742e-09       1.126696229756e+44       1.266102550624e+33       6.566874677774e+33       2.180234100273e+14       2.505043280862e+06       3.815882481151e-08       7.789016378498e+43       1.905597867684e+44       1.905597867684e+44       6.351992892019e+43      -4.384586895978e+52       2.606720991583e-06       4.479892548634e+00 
       7.943784823382e+13       1.197951377539e-25       5.835318006575e-09       1.361308912887e+22       1.429062974619e+04       1.798969894568e-10       1.135216876944e+18       3.369070945442e-09       1.095693180972e+44       1.239882333635e+33       6.430878680526e+33       2.165078550426e+14       2.487629871766e+06       3.815882481151e-08       7.574687752568e+43       1.853161956305e+44       1.853161956305e+44       6.177206520761e+43      -4.234297116761e+52       2.688181022570e-06       4.344138228979e+00 
       7.888564869297e+13       1.214781396442e-25       5.877154762857e-09       1.342448849007e+22       1.429062974619e+04       1.811562683830e-10       1.127325597759e+18       3.392654442060e-09       1.065543236164e+44       1.214205121459e+33       6.297699078012e+33       2.150028351968e+14       2.470337509209e+06       3.815882481151e-08       7.366256759621e+43       1.802168912201e+44       1.802168912201e+44       6.007229707087e+43      -4.089158796114e+52       2.769641053557e-06       4.216369457538e+00 
       7.833728767921e+13       1.231847860280e-25       5.917172529735e-09       1.323850079244e+22       1.429062974619e+04       1.824243622617e-10       1.119489173544e+18       3.416403023154e-09       1.036222920661e+44       1.189059668795e+33       6.167277544405e+33       2.135082772566e+14       2.453165351753e+06       3.815882481151e-08       7.163561115805e+43       1.752579032315e+44       1.752579032315e+44       5.841930107471e+43      -3.948995358320e+52       2.851101084544e-06       4.095901758751e+00 
       7.779273850965e+13       1.249154090869e-25       5.959009286016e-09       1.305508983535e+22       1.429062974619e+04       1.837013327975e-10       1.111707222984e+18       3.440317844316e-09       1.007709405738e+44       1.164434963227e+33       6.039556961766e+33       2.120241084977e+14       2.436112563813e+06       3.815882481151e-08       6.966443002797e+43       1.704353706090e+44       1.704353706090e+44       5.681179020059e+43      -3.813636280120e+52       2.932561115531e-06       3.982126709897e+00 
       7.725197468684e+13       1.266703456692e-25       6.000846042298e-09       1.287421991970e+22       1.429062974619e+04       1.849872421271e-10       1.103979367412e+18       3.464400069226e-09       9.799804908440e+43       1.140320220396e+33       5.914481395038e+33       2.105502567014e+14       2.419178315611e+06       3.815882481151e-08       6.774748944928e+43       1.657455385407e+44       1.657455385407e+44       5.524851284456e+43      -3.682916883253e+52       3.014021146517e-06       3.874501663684e+00 
       7.671496989756e+13       1.284499373555e-25       6.042682798579e-09       1.269585584099e+22       1.429062974619e+04       1.862821528220e-10       1.096305230796e+18       3.488650869710e-09       9.530145863146e+43       1.116704879284e+33       5.791996067543e+33       2.090866501509e+14       2.402361783136e+06       3.815882481151e-08       6.588329689681e+43       1.611847555352e+44       1.611847555352e+44       5.372825184276e+43      -3.556678134111e+52       3.095481177504e-06       3.772541093587e+00 
       7.618169801148e+13       1.302545305254e-25       6.084519554861e-09       1.251996288246e+22       1.429062974619e+04       1.875861278917e-10       1.088684439718e+18       3.513071425798e-09       9.267906965640e+43       1.093578597584e+33       5.672047336995e+33       2.076332176281e+14       2.385662148105e+06       3.815882481151e-08       6.407040091490e+43       1.567494705781e+44       1.567494705781e+44       5.224982352377e+43      -3.434766450251e+52       3.176941208491e-06       3.675809270674e+00 
