# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 130.37 h/Mpc,
# number of wavenumbers equal to 714
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.165860532352e-04      -2.616689810439e+00      -6.536948915141e+00      -6.537478802418e+00      -2.579952441505e+00      -6.536196255836e+00       4.591843101175e-01       4.591961396744e-01 
       7.643905052204e-04      -2.567278786027e+00      -7.211828204727e+00      -7.212481717836e+00      -2.538555421870e+00      -7.210959889151e+00       4.588242776919e-01       4.588348054523e-01 
       8.153921621100e-04      -2.540313677328e+00      -7.978821724554e+00      -7.979623365527e+00      -2.521843295755e+00      -7.977837379574e+00       4.584303684166e-01       4.584387745761e-01 
       8.697226559257e-04      -2.535907521319e+00      -8.849031259803e+00      -8.850008757973e+00      -2.528779079856e+00      -8.847929732305e+00       4.579996183740e-01       4.580055882668e-01 
       9.274874509320e-04      -2.547061336115e+00      -9.834156250647e+00      -9.835340120126e+00      -2.550594829554e+00      -9.832932815096e+00       4.575293350898e-01       4.575330914618e-01 
       9.887609998824e-04      -2.560067480812e+00      -1.094631333580e+01      -1.094773658596e+01      -2.571480300354e+00      -1.094495724305e+01       4.570167573963e-01       4.570189675375e-01 
       1.053583075995e-03      -2.558302485855e+00      -1.219782744778e+01      -1.219952473017e+01      -2.572942357060e+00      -1.219632028898e+01       4.564595533393e-01       4.564611070712e-01 
       1.121956686855e-03      -2.529192145732e+00      -1.360099542899e+01      -1.360300241718e+01      -2.541494451077e+00      -1.359931197485e+01       4.558559022507e-01       4.558576103768e-01 
       1.193847821462e-03      -2.471792109580e+00      -1.516784921749e+01      -1.517020135213e+01      -2.476818806226e+00      -1.516596017520e+01       4.552049033006e-01       4.552072193556e-01 
       1.269187075031e-03      -2.400319611342e+00      -1.690991427862e+01      -1.691264621534e+01      -2.395355871499e+00      -1.690779079247e+01       4.545061773896e-01       4.545090645241e-01 
       1.347872978076e-03      -2.339266067057e+00      -1.883796200034e+01      -1.884110729300e+01      -2.324730401615e+00      -1.883557885330e+01       4.537588599696e-01       4.537618801534e-01 
       1.429776671316e-03      -2.309983728489e+00      -2.096195324908e+01      -2.096554332391e+01      -2.289110481877e+00      -2.095928725530e+01       4.529645321161e-01       4.529671288925e-01 
       1.514747450523e-03      -2.315475564018e+00      -2.329085127452e+01      -2.329491652141e+01      -2.292875791796e+00      -2.328787673823e+01       4.521245084861e-01       4.521263379535e-01 
       1.602618671174e-03      -2.334798484857e+00      -2.583253376019e+01      -2.583710424356e+01      -2.314702860358e+00      -2.582921590080e+01       4.512399220969e-01       4.512410397752e-01 
       1.693213545248e-03      -2.334769281141e+00      -2.859378546913e+01      -2.859889270167e+01      -2.319940124450e+00      -2.859007838258e+01       4.503121340220e-01       4.503129214569e-01 
       1.786350459668e-03      -2.294157595564e+00      -3.158030746439e+01      -3.158598680397e+01      -2.285810096956e+00      -3.157616008677e+01       4.493428004007e-01       4.493436846148e-01 
       1.881847568904e-03      -2.222634793194e+00      -3.479676831766e+01      -3.480306134995e+01      -2.220755732118e+00      -3.479213617328e+01       4.483339619575e-01       4.483351286921e-01 
       1.979526536666e-03      -2.156460234314e+00      -3.824686373275e+01      -3.825382106333e+01      -2.159658480070e+00      -3.824171963717e+01       4.472878614449e-01       4.472891688933e-01 
       2.079215405112e-03      -2.130216162774e+00      -4.193341271961e+01      -4.194109583183e+01      -2.135147422574e+00      -4.192774802182e+01       4.462069126047e-01       4.462080566115e-01 
       2.180750645487e-03      -2.146660163638e+00      -4.585844427501e+01      -4.586692679874e+01      -2.148246144767e+00      -4.585226051004e+01       4.450934447013e-01       4.450942270648e-01 
       2.283978490652e-03      -2.172790302832e+00      -5.002327267046e+01      -5.003264190625e+01      -2.166303973397e+00      -5.001657243856e+01       4.439494486499e-01       4.439499245501e-01 
       2.388755671666e-03      -2.168923215698e+00      -5.442861869319e+01      -5.443897370192e+01      -2.153102754511e+00      -5.442140259462e+01       4.427771197124e-01       4.427775162498e-01 
       2.494949683712e-03      -2.125511580685e+00      -5.907466807656e+01      -5.908611905200e+01      -2.103989232471e+00      -5.906694369079e+01       4.415785122670e-01       4.415790144002e-01 
